symbol,2025-08-29_bitget,2025-08-29_gate,2025-08-30_bitget,2025-08-30_gate,2025-08-31_bitget,2025-08-31_gate,2025-09-01_bitget,2025-09-01_gate,2025-09-02_bitget,2025-09-02_gate,2025-09-03_bitget,2025-09-03_gate,2025-09-04_bitget,2025-09-04_gate,2025-09-05_bitget,2025-09-05_gate,2025-09-06_bitget,2025-09-06_gate,last_profit,current_profit
A2ZUSDT,,,,,,,,,-0.2125800000,3.0735600000,-1.3781628000,21.7189488000,-2.5877212000,25.8839336000,-3.1504812000,26.4468336000,-3.8464612000,27.3106816000,23.2965124000,23.4642204000
DBRUSDT,2.7787200000,0.9365935000,2.6707620000,1.0536000000,2.3524500000,1.2051415000,2.4460325000,1.5274635000,,,,,,,,,,,,
ERAUSDT,34.8532545000,-16.2979951500,34.7289384000,-16.1831926500,34.4023248000,-15.8422426500,34.3715905500,-15.5135251500,,,,,,,,,,,,
IPUSDT,,,,,,,,,,,,,,,,,,,,
MDTUSDT,,,,,,,,,,,,,,,,,-0.1027632000,1.1826488000,1.0793256000,1.0798856000
MITOUSDT,,,,,13.9692096000,-13.4604648000,22.2714812800,-17.5996592800,22.8569024000,-17.5337388800,23.2231659200,-17.0334508800,22.5081959200,-16.3182908800,22.9378764200,-16.5475086800,,,6.3071276400,
MUSDT,438.6873389400,-261.7479201300,845.9148659800,-456.0691381300,955.5025291000,-540.6687931700,988.0871048600,-574.7779224900,,,,,,,,,,,,
NEWTUSDT,109.5154850000,-86.2124764000,109.3569194000,-86.0464864000,110.3691992000,-86.1704272000,110.8348862000,-85.9836232000,111.0095900000,-85.8305932000,112.1719142000,-85.8087976000,151.7271620000,-112.1130508000,209.1400950000,-153.6830998000,213.7167550000,-159.9946208000,54.4119442000,53.7221342000
RVNUSDT,-1.5271386000,7.4337920000,-1.6303002000,7.5416720000,,,,,,,,,,,,,,,,
SAHARAUSDT,-1.9925423000,33.2767281750,-2.2545263000,35.7977793750,-2.7572495000,40.2845929750,-3.3188243000,48.3966141250,-3.5548853000,49.1954596250,-4.2046613000,52.8015863750,-5.2610753000,55.5769538750,-5.8616333000,57.3989651250,-6.5178473000,58.0820026250,51.5821898250,51.5641553250
SKLUSDT,,,,,,,17.3879118000,-16.1231568000,26.7399864000,-27.6436728000,51.4302204000,-51.0235302000,71.2416060000,-66.1664400000,84.2438994000,-76.7394042000,93.0592410000,-84.5156364000,8.1686142000,8.5436046000
SNTUSDT,-24.2836647500,47.5605772500,-25.0288092500,49.0460122500,-25.7045157500,50.0428635000,-26.2896702500,50.6217600000,,,,,,,,,,,,
TAUSDT,,,,,,,,,,,,,-0.5882400000,8.2327384000,-1.2993000000,16.4181694000,-2.1174600000,20.6187614000,18.0300534000,18.5013014000
UXLINKUSDT,7.5439836000,-5.6436276000,9.3819558000,-7.5379368000,13.3664574000,-10.3854774000,13.1432286000,-9.8084574000,13.3303458000,-9.6208974000,12.8861958000,-9.0539274000,12.0545844000,-8.1028974000,11.9467452000,-7.9262148000,11.3832552000,-7.3625148000,4.0206504000,4.0207404000
VOXELUSDT,4.1056819000,1.2879050000,4.2194797000,1.4602700000,6.3737695000,1.9754150000,7.0338715000,2.4790550000,6.2646595000,2.6462750000,5.7013903000,3.1485950000,,,,,,,,
WLFIUSDT,,,,,,,,,,,-3.0904950000,17.2833030000,-4.7300880000,26.8899720000,-5.3022540000,27.5801220000,-6.1303290000,29.4513585000,22.3519350000,23.3210295000
__TOTAL__,569.6811182900,-279.4064233550,977.3592855300,-470.9374203550,1107.8741743500,-573.0193922450,1165.9676127400,-616.7814516950,176.4340188000,-85.7136076550,196.7395675200,-67.9672729050,244.3644238200,-86.1170812050,312.6549475200,-127.0521373550,299.4443905000,-115.2273190750,189.2483526650,184.2170714250
